zip,type,primary_city,acceptable_cities,unacceptable_cities,state,county,timezone,area_codes,latitude,longitude,world_region,country,decommissioned,estimated_population,notes
00544,UNIQUE,Holtsville,,"Irs Service Center",NY,"Suffolk County",America/New_York,631,40.81,-73.04,NA,US,0,0,
00601,STANDARD,Adjuntas,,"Colinas Del Gigante, Jard De Adjuntas, Urb San Joaquin",PR,Adjuntas,America/Puerto_Rico,787939,18.16,-66.72,NA,US,0,0,
00602,STANDARD,Aguada,,"Alts De Aguada, Bo Guaniquilla, Comunidad Las Flores, Ext Los Robles, Urb Isabel La Catolica",PR,,,787,18.38,-67.18,NA,US,0,0,
00603,STANDARD,Aguadilla,Ramey,"Bda Caban, Bda Esteves, Bo Borinquen, Bo Ceiba Baja, Ext El Prado, Ext Marbella, Repto Jimenez, Repto Juan Aguiar, Repto Lopez, Repto Tres Palmas, Sect Las Villas, Urb Borinquen, Urb El Prado, Urb Esteves, Urb Garcia, Urb Las Americas, Urb Las Casitas Cou",PR,Aguadilla,America/Puerto_Rico,787,18.43,-67.15,NA,US,0,0,
00604,"PO BOX",Aguadilla,Ramey,,PR,,,,18.43,-67.15,NA,US,0,0,
00605,"PO BOX",Aguadilla,,,PR,,,,18.43,-67.15,NA,US,0,0,
00606,STANDARD,Maricao,,"Urb San Juan Bautista",PR,Maricao,America/Puerto_Rico,787939,18.18,-66.98,NA,US,0,0,
00610,STANDARD,Anasco,,"Brisas De Anasco, Est De Valle Verde, Jard De Anasco, Paseo Del Valle, Repto Daguey, Urb San Antonio",PR,,,787,18.28,-67.14,NA,US,0,0,
00611,"PO BOX",Angeles,,,PR,,,,18.28,-66.79,NA,US,0,0,"no NWS data, "
00612,STANDARD,Arecibo,,"Alt De Juncos, Alt De San Felipe, Bda Duhamel, Bo El Pasaje, Bo Islote, Bo Islote Ii, Bo Jarealitos, Bo Obrero, Bo Santana, Comunidad Buenos Aires, Est De Arecibo, Est De Balseiro, Ext Marisol, Ext Tanama, Ext Villa Los Santos I, Ext Villa Los Santos Ii, ",PR,Arecibo,America/Puerto_Rico,787,18.45,-66.73,NA,US,0,0,
00613,"PO BOX",Arecibo,,,PR,,,,18.45,-66.73,NA,US,0,0,
00614,"PO BOX",Arecibo,,,PR,,,,18.45,-66.73,NA,US,0,0,
00616,STANDARD,Bajadero,,"Brisas Del Valle",PR,Arecibo,America/Puerto_Rico,,18.4,-66.66,NA,US,0,0,
00617,STANDARD,Barceloneta,,"Bda Catalana, Brisas De Llanadas, Brisas Del Monte, Est De Barceloneta, Est De Florida, Ext Est De Imbery, Ext Parc Punta Palmas, Parc Garrochales, Parc Imbery, Parc Magueyes, Parc Palenque, Parc Punta Palmas, Parc Tiburon, Repto Las Llanadas, Urb Catalun",PR,Barceloneta,America/Puerto_Rico,787,18.45,-66.53,NA,US,0,0,
00622,STANDARD,Boqueron,,"Villa Taina",PR,,,787,17.99,-67.15,NA,US,0,0,
00623,STANDARD,"Cabo Rojo",,"Alts De Joyuda, Alts Del Mar, Bo Ballaja, Bo Monte Grande, Est De Miramar, Est Reales, Ext Elizabeth, Ext La Concepcion, Ext Parc Elizabeth, Ext Sierra Linda, Haciendas De Belvedere, Haciendas De Cabo Rojo, Haciendas De Miramar, Jard Del Puerto, Mans De C",PR,,,787,18.08,-67.14,NA,US,0,0,
00624,STANDARD,Penuelas,,"Alt De Penuelas Ii, Alts De Penuelas, Brisas De Guayanes, Colinas De Penuelas, Ext Alts De Penuelas Ii, Jard De Penuelas, Repto Kennedy, Sect Mal Paso, Urb El Madrigal, Urb Guayanes, Urb Monte Verde, Urb Penuelas Valley, Urb Rio Sol, Urb Riverside, Urb Sa",PR,,,787,18.06,-66.72,NA,US,0,0,
00627,STANDARD,Camuy,,"Alts El Maestro, Sect Pena, Urb Del Carmen, Urb Las Veredas, Urb Linda Vista, Vistas De Camuy",PR,,,787,18.48,-66.84,NA,US,0,0,
00631,"PO BOX",Castaner,Adjuntas,,PR,,,,18.19,-66.82,NA,US,0,0,
